"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"225100";"Stockholm (SE11)";"China (CN)";1;1,64;0,01;0,22;35,3;"High-Performance Computing (HPC)"
"25480";"Stockholm (SE11)";"China (CN)";1;6,67;0,12;0,14;7,81;"Biomaterials"
"50636";"Stockholm (SE11)";"China (CN)";12;3,32;0,11;0,86;25,62;"Generative AI"
"39638";"Stockholm (SE11)";"China (CN)";3;4,11;0,05;0,26;22,12;"Software Engineering & System Development"
"72417";"Stockholm (SE11)";"China (CN)";12;2,61;0,06;0,61;28,25;"Computer Vision, Language Processing & Object Recognition"
"23547";"Stockholm (SE11)";"China (CN)";24;8,19;0,34;1,44;35,18;"Cloud Computing & Edge Computing"
"24940";"Stockholm (SE11)";"China (CN)";22;17,05;0,52;0,9;29,33;"Internet of Things (IoT)"
"16340";"Stockholm (SE11)";"China (CN)";71;14,7;1,24;2,95;34,92;"Satellite Connectivity"
"25038";"Stockholm (SE11)";"China (CN)";171;14,1;0,82;2,27;39,16;"Mobile Networks (5G/6G)"
"18038";"Stockholm (SE11)";"China (CN)";1;2,27;0,03;0,32;28,76;"Quantum Technologies"
"26830";"Stockholm (SE11)";"China (CN)";3;5,08;0,08;0,35;23,47;"Drones"
"6708";"Stockholm (SE11)";"China (CN)";16;3,18;0,08;0,74;29,98;"Artificial Intelligence"
"92112";"Stockholm (SE11)";"China (CN)";168;12,23;0,48;1,22;31,07;"Cybersecurity Technologies"
"37717";"Stockholm (SE11)";"China (CN)";1;1,89;0,01;0,18;24,21;"Robotics"
"31516";"Stockholm (SE11)";"China (CN)";1;2,13;0,02;0,22;23,26;"Heat Pumps"
"8183";"Stockholm (SE11)";"China (CN)";5;2,07;0,03;0,32;23,88;"Battery"
"47412";"Stockholm (SE11)";"China (CN)";2;2,47;0,02;0,24;28,01;"Solar Energy"
"7771";"Stockholm (SE11)";"China (CN)";2;1,2;0,02;0,31;19,17;"Hydrogen Fuel Cells"
"8210";"Stockholm (SE11)";"China (CN)";1;5;0,1;0,54;26,8;"EVs & Charging Infrastructure"
