"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"227100";"Sydsverige (SE22)";"China (CN)";1;3,12;0,01;0,12;35,3;"High-Performance Computing (HPC)"
"27669";"Sydsverige (SE22)";"China (CN)";1;10;0,12;0,09;7,81;"Biomaterials"
"48736";"Sydsverige (SE22)";"China (CN)";9;15,52;0,08;0,14;25,62;"Generative AI"
"71220";"Sydsverige (SE22)";"China (CN)";13;12,15;0,06;0,14;28,25;"Computer Vision, Language Processing & Object Recognition"
"25347";"Sydsverige (SE22)";"China (CN)";4;11,43;0,06;0,17;35,18;"Cloud Computing & Edge Computing"
"27159";"Sydsverige (SE22)";"China (CN)";6;14,63;0,14;0,29;29,33;"Internet of Things (IoT)"
"19639";"Sydsverige (SE22)";"China (CN)";16;25;0,28;0,39;34,92;"Satellite Connectivity"
"27338";"Sydsverige (SE22)";"China (CN)";43;14,53;0,21;0,55;39,16;"Mobile Networks (5G/6G)"
"25430";"Sydsverige (SE22)";"China (CN)";1;4,35;0,03;0,14;23,47;"Drones"
"6808";"Sydsverige (SE22)";"China (CN)";10;11,9;0,05;0,12;29,98;"Artificial Intelligence"
"8907";"Sydsverige (SE22)";"China (CN)";51;14,96;0,15;0,3;31,07;"Cybersecurity Technologies"
"17127";"Sydsverige (SE22)";"China (CN)";1;4,55;0,03;0,2;28,42;"Blockchain Technologies"
"41016";"Sydsverige (SE22)";"China (CN)";1;3,23;0,01;0,11;24,21;"Robotics"
"34716";"Sydsverige (SE22)";"China (CN)";2;4,88;0,04;0,2;23,26;"Heat Pumps"
"47512";"Sydsverige (SE22)";"China (CN)";1;1,35;0,01;0,22;28,01;"Solar Energy"
"7501";"Sydsverige (SE22)";"China (CN)";1;1,19;0,01;0,16;19,17;"Hydrogen Fuel Cells"
