"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"69132";"Vietnam (VN)";"United States (US)";1;100;0,83;0,16;18,97;"Sustainable Agriculture"
"160121";"Vietnam (VN)";"United States (US)";1;100;0,01;0;30,76;"High-Performance Computing (HPC)"
"286311";"Vietnam (VN)";"United States (US)";8;44,44;0,06;0,04;32,18;"Generative AI"
"221214";"Vietnam (VN)";"United States (US)";2;28,57;0,02;0,02;28,7;"Software Engineering & System Development"
"4156";"Vietnam (VN)";"United States (US)";10;40;0,05;0,03;29,03;"Computer Vision, Language Processing & Object Recognition"
"98810";"Vietnam (VN)";"United States (US)";4;100;0,1;0,03;29,78;"Quantum Technologies"
"16288";"Vietnam (VN)";"United States (US)";4;200;0,1;0,01;23,57;"Drones"
"40174";"Vietnam (VN)";"United States (US)";8;42,11;0,04;0,03;30,44;"Artificial Intelligence"
"5003";"Vietnam (VN)";"United States (US)";9;27,27;0,03;0,03;28,6;"Cybersecurity Technologies"
"11376";"Vietnam (VN)";"United States (US)";1;25;0,02;0,04;36,27;"Blockchain Technologies"
"33017";"Vietnam (VN)";"United States (US)";1;100;0,28;0,04;14,76;"Environmental Engineering"
"25094";"Vietnam (VN)";"United States (US)";4;400;0,12;0;15,99;"Heat Pumps"
"53332";"Vietnam (VN)";"United States (US)";5;62,5;0,04;0,01;16,24;"Battery"
"31762";"Vietnam (VN)";"United States (US)";2;33,33;0,03;0,02;17,07;"Solar Energy"
"48961";"Vietnam (VN)";"United States (US)";4;40;0,04;0,02;18,08;"Hydrogen Fuel Cells"
