"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"121006";"Helsinki-Uusimaa (FI1B)";"China (CN)";2;13,33;1,38;2,35;22,73;"Waste Management"
"261103";"Helsinki-Uusimaa (FI1B)";"China (CN)";1;1,04;0,01;0,35;35,3;"High-Performance Computing (HPC)"
"26680";"Helsinki-Uusimaa (FI1B)";"China (CN)";4;9,76;0,47;0,38;7,81;"Biomaterials"
"54436";"Helsinki-Uusimaa (FI1B)";"China (CN)";3;2,04;0,03;0,35;25,62;"Generative AI"
"40539";"Helsinki-Uusimaa (FI1B)";"China (CN)";1;1,92;0,02;0,18;22,12;"Software Engineering & System Development"
"67018";"Helsinki-Uusimaa (FI1B)";"China (CN)";3;1,52;0,01;0,26;28,25;"Computer Vision, Language Processing & Object Recognition"
"36036";"Helsinki-Uusimaa (FI1B)";"China (CN)";1;1,06;0,01;0,18;24,09;"Semiconductors/Chips"
"24847";"Helsinki-Uusimaa (FI1B)";"China (CN)";10;9,35;0,14;0,53;35,18;"Cloud Computing & Edge Computing"
"25640";"Helsinki-Uusimaa (FI1B)";"China (CN)";16;21,33;0,38;0,52;29,33;"Internet of Things (IoT)"
"18448";"Helsinki-Uusimaa (FI1B)";"China (CN)";71;50,35;1,24;0,86;34,92;"Satellite Connectivity"
"21938";"Helsinki-Uusimaa (FI1B)";"China (CN)";169;38,32;0,81;0,83;39,16;"Mobile Networks (5G/6G)"
"26730";"Helsinki-Uusimaa (FI1B)";"China (CN)";2;4,26;0,05;0,28;23,47;"Drones"
"6408";"Helsinki-Uusimaa (FI1B)";"China (CN)";4;2,23;0,02;0,26;29,98;"Artificial Intelligence"
"9028";"Helsinki-Uusimaa (FI1B)";"China (CN)";141;25,36;0,4;0,49;31,07;"Cybersecurity Technologies"
"17025";"Helsinki-Uusimaa (FI1B)";"China (CN)";1;5,56;0,03;0,16;28,42;"Blockchain Technologies"
"56104";"Helsinki-Uusimaa (FI1B)";"China (CN)";2;40;0,2;0,2;40,43;"Environmental Engineering"
"7263";"Helsinki-Uusimaa (FI1B)";"China (CN)";2;1,74;0,01;0,15;23,88;"Battery"
"49412";"Helsinki-Uusimaa (FI1B)";"China (CN)";1;1,11;0,01;0,26;28,01;"Solar Energy"
"6981";"Helsinki-Uusimaa (FI1B)";"China (CN)";3;2,36;0,03;0,24;19,17;"Hydrogen Fuel Cells"
