"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"141005";"Japan (JP)";"China (CN)";1;1,32;0,45;11,91;34,95;"Sustainable Agriculture"
"44170";"Japan (JP)";"China (CN)";2;0,47;1,31;21,78;7,84;"Recycling"
"38446";"Japan (JP)";"China (CN)";6;0,24;0,24;16,31;16,25;"Wind Energy"
"22990";"Japan (JP)";"China (CN)";6;0,17;0,06;13,07;35,3;"High-Performance Computing (HPC)"
"28949";"Japan (JP)";"China (CN)";77;3,79;9,07;18,72;7,81;"Biomaterials"
"53636";"Japan (JP)";"China (CN)";9;0,22;0,08;9,67;25,62;"Generative AI"
"39038";"Japan (JP)";"China (CN)";6;0,12;0,1;18,13;22,12;"Software Engineering & System Development"
"73017";"Japan (JP)";"China (CN)";17;0,19;0,08;12,27;28,25;"Computer Vision, Language Processing & Object Recognition"
"37736";"Japan (JP)";"China (CN)";34;0,22;0,27;30,01;24,09;"Semiconductors/Chips"
"84100";"Japan (JP)";"China (CN)";1;0,47;0,2;10,05;23,61;"Green Consumer Goods"
"9890";"Japan (JP)";"China (CN)";5;0,72;0,59;16,68;20,45;"Carbon Capture & Storage"
"27167";"Japan (JP)";"China (CN)";85;4,78;1,19;8,73;35,18;"Cloud Computing & Edge Computing"
"25160";"Japan (JP)";"China (CN)";15;0,84;0,36;12,41;29,33;"Internet of Things (IoT)"
"19539";"Japan (JP)";"China (CN)";161;11,2;2,81;8,78;34,92;"Satellite Connectivity"
"25638";"Japan (JP)";"China (CN)";762;16,72;3,65;8,54;39,16;"Mobile Networks (5G/6G)"
"26930";"Japan (JP)";"China (CN)";6;0,24;0,15;15,27;23,47;"Drones"
"64210";"Japan (JP)";"China (CN)";16;0,24;0,08;9,9;29,98;"Artificial Intelligence"
"8777";"Japan (JP)";"China (CN)";252;2,09;0,72;10,73;31,07;"Cybersecurity Technologies"
"18325";"Japan (JP)";"China (CN)";1;0,15;0,03;5,89;28,42;"Blockchain Technologies"
"40716";"Japan (JP)";"China (CN)";13;0,29;0,19;15,63;24,21;"Robotics"
"58104";"Japan (JP)";"China (CN)";1;0,32;0,1;12,76;40,43;"Environmental Engineering"
"32516";"Japan (JP)";"China (CN)";7;0,17;0,14;19,87;23,26;"Heat Pumps"
"8003";"Japan (JP)";"China (CN)";24;0,16;0,13;19,77;23,88;"Battery"
"49612";"Japan (JP)";"China (CN)";14;0,19;0,15;21,12;28,01;"Solar Energy"
"7431";"Japan (JP)";"China (CN)";21;0,22;0,2;17,5;19,17;"Hydrogen Fuel Cells"
"7810";"Japan (JP)";"China (CN)";2;0,38;0,2;14,09;26,8;"EVs & Charging Infrastructure"
