"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"595";"Noord-Brabant (NL41)";"United States (US)";2;16,67;0,6;0,62;17,07;"Recycling"
"2768";"Noord-Brabant (NL41)";"United States (US)";7;9,33;0,23;0,49;20,1;"Wind Energy"
"160616";"Noord-Brabant (NL41)";"United States (US)";14;14;0,17;0,36;30,76;"High-Performance Computing (HPC)"
"178713";"Noord-Brabant (NL41)";"United States (US)";5;5,95;0,14;0,77;33,24;"Biomaterials"
"299410";"Noord-Brabant (NL41)";"United States (US)";16;4,07;0,12;0,93;32,18;"Generative AI"
"218710";"Noord-Brabant (NL41)";"United States (US)";3;3,53;0,04;0,3;28,7;"Software Engineering & System Development"
"4162";"Noord-Brabant (NL41)";"United States (US)";33;3,37;0,15;1,31;29,03;"Computer Vision, Language Processing & Object Recognition"
"257411";"Noord-Brabant (NL41)";"United States (US)";189;18,62;1,87;1,97;19,68;"Semiconductors/Chips"
"60516";"Noord-Brabant (NL41)";"United States (US)";1;9,09;0,21;0,52;22,38;"Green Consumer Goods"
"152312";"Noord-Brabant (NL41)";"United States (US)";9;13,43;0,15;0,33;29,4;"Cloud Computing & Edge Computing"
"145212";"Noord-Brabant (NL41)";"United States (US)";1;0,65;0,03;1,07;24,83;"Internet of Things (IoT)"
"112711";"Noord-Brabant (NL41)";"United States (US)";1;1,82;0,02;0,34;25,88;"Satellite Connectivity"
"14759";"Noord-Brabant (NL41)";"United States (US)";1;1,01;0,01;0,19;25,1;"Mobile Networks (5G/6G)"
"101213";"Noord-Brabant (NL41)";"United States (US)";4;2,84;0,1;1,03;29,78;"Quantum Technologies"
"168113";"Noord-Brabant (NL41)";"United States (US)";6;20;0,15;0,18;23,57;"Drones"
"40237";"Noord-Brabant (NL41)";"United States (US)";30;4,28;0,14;1,03;30,44;"Artificial Intelligence"
"5126";"Noord-Brabant (NL41)";"United States (US)";8;1,59;0,02;0,45;28,6;"Cybersecurity Technologies"
"11396";"Noord-Brabant (NL41)";"United States (US)";2;9,52;0,05;0,19;36,27;"Blockchain Technologies"
"255110";"Noord-Brabant (NL41)";"United States (US)";5;2,02;0,07;0,86;24,18;"Robotics"
"25664";"Noord-Brabant (NL41)";"United States (US)";6;8,11;0,18;0,35;15,99;"Heat Pumps"
"54092";"Noord-Brabant (NL41)";"United States (US)";12;4,38;0,1;0,36;16,24;"Battery"
"32513";"Noord-Brabant (NL41)";"United States (US)";10;2,95;0,17;0,99;17,07;"Solar Energy"
"49331";"Noord-Brabant (NL41)";"United States (US)";9;5,52;0,09;0,3;18,08;"Hydrogen Fuel Cells"
"55010";"Noord-Brabant (NL41)";"United States (US)";2;20;0,37;0,27;14,52;"EVs & Charging Infrastructure"
