"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2759";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;12,5;0,03;0,05;20,1;"Wind Energy"
"158318";"Nord - Pas-de-Calais (FR30)";"United States (US)";3;100;0,04;0,01;30,76;"High-Performance Computing (HPC)"
"180514";"Nord - Pas-de-Calais (FR30)";"United States (US)";5;71,43;0,14;0,06;33,24;"Biomaterials"
"29077";"Nord - Pas-de-Calais (FR30)";"United States (US)";2;66,67;0,01;0,01;32,18;"Generative AI"
"220511";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;14,29;0,01;0,02;28,7;"Software Engineering & System Development"
"4165";"Nord - Pas-de-Calais (FR30)";"United States (US)";5;55,56;0,02;0,01;29,03;"Computer Vision, Language Processing & Object Recognition"
"24708";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;12,5;0,01;0,02;19,68;"Semiconductors/Chips"
"154116";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;100;0,02;0;29,4;"Cloud Computing & Edge Computing"
"38954";"Nord - Pas-de-Calais (FR30)";"United States (US)";4;57,14;0,02;0,01;30,44;"Artificial Intelligence"
"5006";"Nord - Pas-de-Calais (FR30)";"United States (US)";5;25;0,02;0,02;28,6;"Cybersecurity Technologies"
"10556";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;100;0,02;0,01;36,27;"Blockchain Technologies"
"24775";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;4;0,01;0,09;24,18;"Robotics"
"53072";"Nord - Pas-de-Calais (FR30)";"United States (US)";5;17,24;0,04;0,04;16,24;"Battery"
"31722";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;10;0,02;0,03;17,07;"Solar Energy"
"50713";"Nord - Pas-de-Calais (FR30)";"United States (US)";3;16,67;0,03;0,03;18,08;"Hydrogen Fuel Cells"
