"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"118107";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";2;200;1,46;0,19;25,42;"Biofuels"
"28967";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";2;50;0,01;0,01;32,18;"Generative AI"
"4129";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";3;37,5;0,01;0,01;29,03;"Computer Vision, Language Processing & Object Recognition"
"252411";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";3;16,67;0,03;0,03;19,68;"Semiconductors/Chips"
"142610";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";2;100;0,06;0,01;24,83;"Internet of Things (IoT)"
"163211";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";1;100;0,03;0,01;23,57;"Drones"
"40636";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";3;75;0,01;0,01;30,44;"Artificial Intelligence"
"5164";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";1;8,33;0;0,01;28,6;"Cybersecurity Technologies"
"24445";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";4;50;0,06;0,03;24,18;"Robotics"
"24994";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";5;83,33;0,15;0,03;15,99;"Heat Pumps"
"53152";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";4;18,18;0,03;0,03;16,24;"Battery"
"49681";"Northumberland and Tyne and Wear (UKC2)";"United States (US)";3;30;0,03;0,02;18,08;"Hydrogen Fuel Cells"
