"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"162915";"Philippines (PH)";"United States (US)";1;33,33;0,01;0,01;30,76;"High-Performance Computing (HPC)"
"29467";"Philippines (PH)";"United States (US)";3;50;0,02;0,01;32,18;"Generative AI"
"226710";"Philippines (PH)";"United States (US)";3;60;0,04;0,02;28,7;"Software Engineering & System Development"
"4054";"Philippines (PH)";"United States (US)";3;33,33;0,01;0,01;29,03;"Computer Vision, Language Processing & Object Recognition"
"25068";"Philippines (PH)";"United States (US)";3;150;0,03;0;19,68;"Semiconductors/Chips"
"143810";"Philippines (PH)";"United States (US)";1;20;0,03;0,03;24,83;"Internet of Things (IoT)"
"95010";"Philippines (PH)";"United States (US)";1;100;0,02;0,01;29,78;"Quantum Technologies"
"39294";"Philippines (PH)";"United States (US)";3;30;0,01;0,01;30,44;"Artificial Intelligence"
"5140";"Philippines (PH)";"United States (US)";6;50;0,02;0,01;28,6;"Cybersecurity Technologies"
"11056";"Philippines (PH)";"United States (US)";2;200;0,05;0,01;36,27;"Blockchain Technologies"
"25144";"Philippines (PH)";"United States (US)";1;100;0,03;0;15,99;"Heat Pumps"
"53582";"Philippines (PH)";"United States (US)";2;25;0,02;0,01;16,24;"Battery"
