"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2756";"Stuttgart (DE11)";"United States (US)";3;0,93;0,1;2,08;20,1;"Wind Energy"
"162715";"Stuttgart (DE11)";"United States (US)";57;46,34;0,68;0,45;30,76;"High-Performance Computing (HPC)"
"180813";"Stuttgart (DE11)";"United States (US)";3;5,36;0,08;0,52;33,24;"Biomaterials"
"28207";"Stuttgart (DE11)";"United States (US)";39;14,34;0,29;0,65;32,18;"Generative AI"
"226413";"Stuttgart (DE11)";"United States (US)";11;12,22;0,14;0,32;28,7;"Software Engineering & System Development"
"4067";"Stuttgart (DE11)";"United States (US)";59;11,97;0,27;0,66;29,03;"Computer Vision, Language Processing & Object Recognition"
"24958";"Stuttgart (DE11)";"United States (US)";16;4,13;0,16;0,75;19,68;"Semiconductors/Chips"
"65218";"Stuttgart (DE11)";"United States (US)";5;100;1,06;0,24;22,38;"Green Consumer Goods"
"69915";"Stuttgart (DE11)";"United States (US)";5;19,23;0,52;0,62;23,05;"Carbon Capture & Storage"
"149911";"Stuttgart (DE11)";"United States (US)";52;44,44;0,87;0,57;29,4;"Cloud Computing & Edge Computing"
"143411";"Stuttgart (DE11)";"United States (US)";5;6,85;0,14;0,51;24,83;"Internet of Things (IoT)"
"113811";"Stuttgart (DE11)";"United States (US)";5;5,49;0,12;0,56;25,88;"Satellite Connectivity"
"148211";"Stuttgart (DE11)";"United States (US)";16;22,86;0,12;0,13;25,1;"Mobile Networks (5G/6G)"
"100010";"Stuttgart (DE11)";"United States (US)";21;29,58;0,51;0,52;29,78;"Quantum Technologies"
"161410";"Stuttgart (DE11)";"United States (US)";8;2,97;0,2;1,61;23,57;"Drones"
"39636";"Stuttgart (DE11)";"United States (US)";59;13,32;0,28;0,65;30,44;"Artificial Intelligence"
"5206";"Stuttgart (DE11)";"United States (US)";127;23,87;0,39;0,47;28,6;"Cybersecurity Technologies"
"10746";"Stuttgart (DE11)";"United States (US)";10;16,67;0,25;0,54;36,27;"Blockchain Technologies"
"25275";"Stuttgart (DE11)";"United States (US)";11;3,19;0,16;1,19;24,18;"Robotics"
"24724";"Stuttgart (DE11)";"United States (US)";17;2,47;0,51;3,28;15,99;"Heat Pumps"
"53942";"Stuttgart (DE11)";"United States (US)";39;2,68;0,32;1,91;16,24;"Battery"
"31562";"Stuttgart (DE11)";"United States (US)";7;2,75;0,12;0,75;17,07;"Solar Energy"
"49671";"Stuttgart (DE11)";"United States (US)";36;2,78;0,37;2,4;18,08;"Hydrogen Fuel Cells"
"52410";"Stuttgart (DE11)";"United States (US)";2;1,32;0,37;4,05;14,52;"EVs & Charging Infrastructure"
