"id";"value";"share";"ctry"
"Samsung Electronics Co Ltd";726;2,44;"KR"
"Microsoft Technology Licensing Llc";715;2,4;"US"
"Nec Corporation";562;1,89;"JP"
"Koninklijke Philips Nv";531;1,78;"NL"
"Sony Corporation";456;1,53;"JP"
"Sony Group Corporation";424;1,42;"JP"
"Google Llc";408;1,37;"US"
"Tencent Technology (Shenzhen) Company Limited";343;1,15;"CN"
"Sz Dji Technology Co Ltd";337;1,13;"CN"
"Sz Dji Technology Co Ltd";337;1,13;"JP"
"Fujifilm Corporation";334;1,12;"JP"
"Huawei Technologies Co Ltd";317;1,06;"CN"
"Qualcomm Incorporated";272;0,91;"US"
"Mitsubishi Electric Corporation";266;0,89;"JP"
"Sony Interactive Entertainment Inc";252;0,85;"JP"
"Magic Leap Inc";248;0,83;"US"
"Olympus Corporation";245;0,82;"JP"
"Intel Corporation";242;0,81;"US"
"Boe Technology Group Co Ltd";208;0,7;"CN"
"Lg Electronics Inc";198;0,66;"KR"
"Hewlett-Packard Development Company Lp";182;0,61;"US"
"Apple Inc";164;0,55;"US"
"Nokia Technologies Oy";159;0,53;"FI"
"Facebook Technologies Llc";156;0,52;"US"
"Ping An Technology (Shenzhen) Co Ltd";152;0,51;"CN"
"Omron Corporation";148;0,5;"JP"
"Canon Kabushiki Kaisha";146;0,49;"JP"
"Denso Corporation";136;0,46;"JP"
"Guangdong Oppo Mobile Telecommunications Corp Lt";128;0,43;"CN"
"Beijing Sensetime Technology Development Co Ltd";120;0,4;"CN"
"Kla-Tencor Corporation";115;0,39;"US"
"Nippon Telegraph And Telephone Corporation";113;0,38;"JP"
"Ethicon Llc";111;0,37;"PR"
"Ethicon Llc";111;0,37;"US"
"Fujitsu Limited";106;0,36;"JP"
"Panasonic Intellectual Property Management Co Ltd";102;0,34;"JP"
"Hitachi Ltd";99;0,33;"JP"
"Konica Minolta Inc";94;0,32;"JP"
"Guangdong Oppo Mobile Telecommunications Corp Ltd";94;0,32;"CN"
"Robert Bosch Gmbh";93;0,31;"DE"
"Sony Semiconductor Solutions Corporation";83;0,28;"JP"
"Hitachi Automotive Systems Ltd";82;0,28;"JP"
"Nikon Corporation";81;0,27;"JP"
"Alibaba Group Holding Limited";80;0,27;"KY"
"Zte Corporation";80;0,27;"CN"
"Advanced New Technologies Co Ltd";79;0,27;"KY"
"Shenzhen University";78;0,26;"CN"
"Brainlab Ag";76;0,26;"DE"
"Shanghai United Imaging Healthcare Co Ltd";76;0,26;"CN"
"Siemens Aktiengesellschaft";75;0,25;"DE"
"General Electric Company";69;0,23;"US"
"Facebook Inc";67;0,22;"US"
"Snap Inc";67;0,22;"US"
"Telefonaktiebolaget Lm Ericsson (Publ)";64;0,21;"SE"
"Hangzhou Hikvision Digital Technology Co Ltd";63;0,21;"CN"
"Audi Ag";61;0,2;"DE"
"Walmart Apollo Llc";58;0,19;"US"
"Volkswagen Aktiengesellschaft";57;0,19;"DE"
"Fuji Corporation";56;0,19;"JP"
"Kla Corporation";55;0,18;"US"
