"id";"value";"share";"ctry"
"Mitsubishi Electric Corporation";495;4,07;"JP"
"Signify Holding Bv";364;2,99;"NL"
"Lg Electronics Inc";157;1,29;"KR"
"Haier Smart Home Co Ltd";123;1,01;"CN"
"Qingdao Haier Air Conditioner General Corp Ltd";119;0,98;"CN"
"Samsung Electronics Co Ltd";108;0,89;"KR"
"Panasonic Intellectual Property Management Co Ltd";105;0,86;"JP"
"Midea Group Co Ltd";93;0,76;"CN"
"Daikin Industries Ltd";92;0,76;"JP"
"Huawei Technologies Co Ltd";88;0,72;"CN"
"Carrier Corporation";74;0,61;"US"
"Ar„ßElik Anonim Sirketi";73;0,6;"TR"
"Gd Midea Air-Conditioning Equipment Co Ltd";66;0,54;"CN"
"Gree Electric Appliances Inc Of Zhuhai";61;0,5;"CN"
"Siemens Aktiengesellschaft";59;0,48;"DE"
"Texas Instruments Incorporated";59;0,48;"US"
"Tridonic Gmbh & Co Kg";58;0,48;"AT"
"Robert Bosch Gmbh";55;0,45;"DE"
"Murata Manufacturing Co Ltd";52;0,43;"JP"
"Johnson Controls Technology Company";52;0,43;"US"
"General Electric Company";51;0,42;"US"
"Zte Corporation";51;0,42;"CN"
"Whirlpool Corporation";51;0,42;"US"
"Abb Schweiz Ag";49;0,4;"CH"
"Koninklijke Philips Nv";47;0,39;"NL"
"Denso Corporation";47;0,39;"JP"
"Lutron Technology Company Llc";45;0,37;"US"
"Hitachi Ltd";43;0,35;"JP"
"Kyocera Corporation";41;0,34;"JP"
"Bsh Hausger„§Te Gmbh";39;0,32;"DE"
"Philips Lighting Holding Bv";37;0,3;"NL"
"Nec Corporation";36;0,3;"JP"
"Emerson Climate Technologies Inc";36;0,3;"US"
"Vkr Holding A/S";35;0,29;"DK"
"Qualcomm Incorporated";34;0,28;"US"
"Sumitomo Electric Industries Ltd";34;0,28;"JP"
"Eaton Intelligent Power Limited";33;0,27;"IE"
"Boe Technology Group Co Ltd";33;0,27;"CN"
"Fuji Electric Co Ltd";33;0,27;"JP"
"Eaton Intelligent Power Limited";33;0,27;"SG"
