"id";"value";"share";"ctry"
"Exxonmobil Research And Engineering Company";67;3,21;"US"
"Exxonmobil Upstream Research Company";44;2,11;"US"
"Uop Llc";43;2,06;"US"
"Saudi Arabian Oil Company";40;1,92;"SA"
"Basf Corporation";34;1,63;"US"
"Mitsubishi Heavy Industries Engineering Ltd";34;1,63;"JP"
"Johnson Matthey Public Limited Company";28;1,34;"UK"
"L'air Liquide Soci„©T„© Anonyme Pour L'etude Et L'exploitation Des Proc„©D„©S Georges Claude";26;1,25;"FR"
"Shell Internationale Research Maatschappij Bv";26;1,25;"NL"
"King Abdullah University Of Science And Technology";22;1,05;"SA"
"Haldor Tops„∏E A/S";20;0,96;"DK"
"Fujifilm Corporation";20;0,96;"JP"
"Georgia Tech Research Corporation";19;0,91;"US"
"Dow Global Technologies Llc";17;0,81;"US"
"Applied Materials Inc";17;0,81;"US"
"Casale Sa";17;0,81;"CH"
"Linde Gmbh";17;0,81;"DE"
"Climeworks Ag";16;0,77;"CH"
"Praxair Technology Inc";15;0,72;"US"
"Korea Research Institute Of Chemical Technology";13;0,62;"KR"
"Basf Se";13;0,62;"DE"
"Ngk Insulators Ltd";13;0,62;"JP"
"The Regents Of The University Of California";13;0,62;"US"
"Chevron Usa Inc";12;0,58;"US"
"Massachusetts Institute Of Technology";12;0,58;"US"
"Sabic Global Technologies Bv";12;0,58;"NL"
"Thyssenkrupp Ag";11;0,53;"DE"
"General Electric Technology Gmbh";11;0,53;"CH"
"Ohio State Innovation Foundation";11;0,53;"US"
"Thyssenkrupp Industrial Solutions Ag";10;0,48;"DE"
"Sumitomo Chemical Company Limited";10;0,48;"JP"
"Linde Aktiengesellschaft";10;0,48;"DE"
"L'air Liquide Societe Anonyme Pour L'etude Et L'exploitation Des Procedes Georges Claude";10;0,48;"FR"
"Korea Advanced Institute Of Science And Technology";9;0,43;"KR"
"Solvay Sa";9;0,43;"BE"
"Fuji-Film Corporation";9;0,43;"JP"
"Commonwealth Scientific And Industrial Research Organisation";9;0,43;"AU"
"Midrex Technologies Inc";8;0,38;"US"
"Arcelormittal";8;0,38;"LU"
"Nederlandse Organisatie Voor Toegepast- Natuurwetenschappelijk Onderzoek Tno";8;0,38;"NL"
"Ifp Energies Nouvelles";8;0,38;"FR"
"Hitachi Chemical Company Ltd";8;0,38;"JP"
"Renaissance Energy Research Corporation";8;0,38;"JP"
"Korea Electric Power Corporation";8;0,38;"KR"
"Korea Institute Of Energy Research";8;0,38;"KR"
"3m Innovative Properties Company";8;0,38;"US"
"Fuelcell Energy Inc";8;0,38;"US"
"Membrane Technology And Research Inc";8;0,38;"US"
"8 Rivers Capital Llc";8;0,38;"US"
"Siemens Aktiengesellschaft";7;0,34;"DE"
"Sekisui Chemical Co Ltd";7;0,34;"JP"
"Gas Technology Institute";7;0,34;"US"
"Saipem Spa";7;0,34;"IT"
"Umicore Ag & Co Kg";7;0,34;"DE"
"Fujifilm Manufacturing Europe Bv";7;0,34;"NL"
