"id";"x";"y";"label";"color";"count";"parent"
"US";2014;28,3783783783784;"US";"blue";210;"US"
"US";2011;27,0944741532977;"US";"blue";152;"US"
"JP";2014;20,1351351351351;"JP";"yellow";149;"JP"
"US";2012;22,1556886227545;"US";"blue";148;"US"
"JP";2017;27,8225806451613;"JP";"yellow";138;"JP"
"US";2013;20,5;"US";"blue";123;"US"
"US";2010;26,5217391304348;"US";"blue";122;"US"
"JP";2018;23,21083172147;"JP";"yellow";120;"JP"
"US";2009;31,6489361702128;"US";"blue";119;"US"
"US";2017;23,5887096774194;"US";"blue";117;"US"
"JP";2013;19,3333333333333;"JP";"yellow";116;"JP"
"US";2015;21,4022140221402;"US";"blue";116;"US"
"JP";2012;17,0658682634731;"JP";"yellow";114;"JP"
"JP";2016;22,4899598393574;"JP";"yellow";112;"JP"
"EU";2012;15,7185628742515;"DE";"green";105;"EU"
"US";2016;20,8835341365462;"US";"blue";104;"US"
"US";2008;31,0030395136778;"US";"blue";102;"US"
"JP";2011;17,6470588235294;"JP";"yellow";99;"JP"
"US";2018;19,1489361702128;"US";"blue";99;"US"
"EU";2013;15,8333333333333;"DE";"green";95;"EU"
"JP";2019;21,1136890951276;"JP";"yellow";91;"JP"
"JP";2015;16,6051660516605;"JP";"yellow";90;"JP"
"EU";2014;11,8918918918919;"DE";"green";88;"EU"
"US";2007;28,7671232876712;"US";"blue";84;"US"
"EU";2016;16,0642570281125;"DE";"green";80;"EU"
"EU";2015;14,3911439114391;"DE";"green";78;"EU"
"US";2020;19,0709046454768;"US";"blue";78;"US"
"US";2019;17,8654292343387;"US";"blue";77;"US"
"EU";2011;13,5472370766488;"DE";"green";76;"EU"
"JP";2020;18,0929095354523;"JP";"yellow";74;"JP"
"US";2004;37,4358974358974;"US";"blue";73;"US"
"US";2006;31,8385650224215;"US";"blue";71;"US"
"EU";2010;15;"DE";"green";69;"EU"
"EU";2018;12,7659574468085;"DE";"green";66;"EU"
"CN";2018;11,9922630560928;"CN";"orange";62;"CN"
"EU";2020;15,158924205379;"DE";"green";62;"EU"
"CN";2019;14,15313225058;"CN";"orange";61;"CN"
"EU";2017;12,0967741935484;"DE";"green";60;"EU"
"EU";2008;17,629179331307;"DE";"green";58;"EU"
"US";2005;32,0441988950276;"US";"blue";58;"US"
"EU";2019;13,2250580046404;"DE";"green";57;"EU"
"EU";2009;13,563829787234;"DE";"green";51;"EU"
"CN";2020;12,4694376528117;"CN";"orange";51;"CN"
"CN";2014;6,75675675675676;"CN";"orange";50;"CN"
"CN";2021;24,7474747474747;"CN";"orange";49;"CN"
"JP";2010;9,34782608695652;"JP";"yellow";43;"JP"
"CN";2013;7,16666666666667;"CN";"orange";43;"CN"
"CN";2015;7,74907749077491;"CN";"orange";42;"CN"
"KR";2014;5,54054054054054;"KR";"lightgreen";41;"KR"
"JP";2009;10,6382978723404;"JP";"yellow";40;"JP"
"EU";2007;13,3561643835616;"DE";"green";39;"EU"
"KR";2018;7,15667311411992;"KR";"lightgreen";37;"KR"
"JP";2007;12,3287671232877;"JP";"yellow";36;"JP"
"JP";2006;16,1434977578475;"JP";"yellow";36;"JP"
"EU";2011;6,23885918003565;"UK";"green";35;"EU"
"EU";2014;4,59459459459459;"FR";"green";34;"EU"
"JP";2008;10,0303951367781;"JP";"yellow";33;"JP"
"CN";2012;4,94011976047904;"CN";"orange";33;"CN"
"JP";2021;16,6666666666667;"JP";"yellow";33;"JP"
"CN";2017;6,45161290322581;"CN";"orange";32;"CN"
"US";2021;15,6565656565657;"US";"blue";31;"US"
"JP";2005;16,0220994475138;"JP";"yellow";29;"JP"
"EU";2011;4,99108734402852;"FR";"green";28;"EU"
"EU";2012;4,04191616766467;"SE";"green";27;"EU"
"KR";2012;4,04191616766467;"KR";"lightgreen";27;"KR"
"KR";2017;5,44354838709677;"KR";"lightgreen";27;"KR"
"EU";2010;5,65217391304348;"FR";"green";26;"EU"
"KR";2011;4,63458110516934;"KR";"lightgreen";26;"KR"
"EU";2012;3,89221556886228;"UK";"green";26;"EU"
"EU";2006;11,2107623318386;"DE";"green";25;"EU"
"EU";2012;3,74251497005988;"FR";"green";25;"EU"
"EU";2013;4,16666666666667;"FR";"green";25;"EU"
"EU";2012;3,59281437125748;"CH";"green";24;"EU"
"EU";2015;4,4280442804428;"FR";"green";24;"EU"
"EU";2015;4,4280442804428;"UK";"green";24;"EU"
"EU";2010;5;"SE";"green";23;"EU"
"KR";2013;3,83333333333333;"KR";"lightgreen";23;"KR"
"EU";2004;11,2820512820513;"DE";"green";22;"EU"
"EU";2012;3,29341317365269;"FI";"green";22;"EU"
"EU";2016;4,41767068273092;"FR";"green";22;"EU"
"JP";2004;10,7692307692308;"JP";"yellow";21;"JP"
"EU";2014;2,83783783783784;"SE";"green";21;"EU"
"CN";2016;4,21686746987952;"CN";"orange";21;"CN"
"EU";2009;5,31914893617021;"FR";"green";20;"EU"
"IN";2013;3,33333333333333;"IN";"lightblue";20;"IN"
"KR";2015;3,690036900369;"KR";"lightgreen";20;"KR"
"EU";2016;4,01606425702811;"UK";"green";20;"EU"
"KR";2016;4,01606425702811;"KR";"lightgreen";20;"KR"
"EU";2013;3,16666666666667;"UK";"green";19;"EU"
"EU";2008;5,47112462006079;"FR";"green";18;"EU"
"EU";2018;3,4816247582205;"UK";"green";18;"EU"
"EU";2020;4,40097799511002;"SE";"green";18;"EU"
"EU";2007;5,82191780821918;"FR";"green";17;"EU"
"EU";2005;9,39226519337017;"DE";"green";17;"EU"
"EU";2007;5,82191780821918;"SE";"green";17;"EU"
"EU";2010;3,69565217391304;"UK";"green";17;"EU"
"EU";2017;3,42741935483871;"FR";"green";17;"EU"
"EU";2007;5,47945205479452;"CH";"green";16;"EU"
"IN";2012;2,39520958083832;"IN";"lightblue";16;"IN"
"KR";2019;3,7122969837587;"KR";"lightgreen";16;"KR"
"EU";2020;3,9119804400978;"UK";"green";16;"EU"
"EU";2021;8,08080808080808;"DE";"green";16;"EU"
"EU";2009;3,98936170212766;"NL";"green";15;"EU"
"CN";2010;3,26086956521739;"CN";"orange";15;"CN"
"EU";2011;2,67379679144385;"CH";"green";15;"EU"
"EU";2011;2,67379679144385;"SE";"green";15;"EU"
"CA";2011;2,67379679144385;"CA";"lightgrey";15;"CA"
"EU";2013;2,5;"CH";"green";15;"EU"
"EU";2015;2,76752767527675;"IT";"green";15;"EU"
"CA";2015;2,76752767527675;"CA";"lightgrey";15;"CA"
"EU";2016;3,01204819277108;"SE";"green";15;"EU"
"EU";2018;2,90135396518375;"SE";"green";15;"EU"
"EU";2018;2,90135396518375;"FR";"green";15;"EU"
"EU";2019;3,48027842227378;"SE";"green";15;"EU"
"EU";2014;1,89189189189189;"UK";"green";14;"EU"
"EU";2019;3,24825986078886;"UK";"green";14;"EU"
"EU";2006;5,82959641255605;"UK";"green";13;"EU"
"EU";2009;3,45744680851064;"CH";"green";13;"EU"
"CA";2010;2,82608695652174;"CA";"lightgrey";13;"CA"
"CN";2011;2,31729055258467;"CN";"orange";13;"CN"
"EU";2011;2,31729055258467;"FI";"green";13;"EU"
"EU";2013;2,16666666666667;"IT";"green";13;"EU"
"EU";2013;2,16666666666667;"SE";"green";13;"EU"
"CA";2014;1,75675675675676;"CA";"lightgrey";13;"CA"
"EU";2018;2,51450676982592;"IT";"green";13;"EU"
"EU";2020;3,17848410757946;"FR";"green";13;"EU"
"EU";2020;3,17848410757946;"DK";"green";13;"EU"
"KR";2020;3,17848410757946;"KR";"lightgreen";13;"KR"
"EU";2009;3,19148936170213;"IT";"green";12;"EU"
"EU";2008;3,64741641337386;"CH";"green";12;"EU"
"CA";2007;4,10958904109589;"CA";"lightgrey";12;"CA"
"EU";2006;5,38116591928251;"SE";"green";12;"EU"
"EU";2009;3,19148936170213;"UK";"green";12;"EU"
"EU";2010;2,60869565217391;"IT";"green";12;"EU"
"KR";2010;2,60869565217391;"KR";"lightgreen";12;"KR"
"EU";2016;2,40963855421687;"NL";"green";12;"EU"
"EU";2017;2,41935483870968;"IT";"green";12;"EU"
"EU";2019;2,78422273781903;"IT";"green";12;"EU"
