"id";"x";"y";"label";"color";"count";"parent"
"US";2014;27,4371859296482;"US";"blue";546;"US"
"US";2018;28,6620530565167;"US";"blue";497;"US"
"US";2016;28,8085358624778;"US";"blue";486;"US"
"US";2017;29,1466346153846;"US";"blue";485;"US"
"US";2020;28,5015290519878;"US";"blue";466;"US"
"US";2019;24,9189189189189;"US";"blue";461;"US"
"US";2013;25,1091703056769;"US";"blue";460;"US"
"JP";2014;22,0603015075377;"JP";"yellow";439;"JP"
"JP";2013;23,7445414847162;"JP";"yellow";435;"JP"
"US";2015;24,645390070922;"US";"blue";417;"US"
"US";2012;25,092936802974;"US";"blue";405;"US"
"JP";2012;22,180916976456;"JP";"yellow";358;"JP"
"JP";2015;20,5673758865248;"JP";"yellow";348;"JP"
"US";2011;26,2948207171315;"US";"blue";330;"US"
"JP";2016;19,5020746887967;"JP";"yellow";329;"JP"
"CN";2019;16,6486486486486;"CN";"orange";308;"CN"
"US";2010;35,9338061465721;"US";"blue";304;"US"
"JP";2017;17,6682692307692;"JP";"yellow";294;"JP"
"US";2008;42,8333333333333;"US";"blue";257;"US"
"JP";2011;20,398406374502;"JP";"yellow";256;"JP"
"US";2009;34,525447042641;"US";"blue";251;"US"
"CN";2018;14,4752018454441;"CN";"orange";251;"CN"
"JP";2019;13,1891891891892;"JP";"yellow";244;"JP"
"JP";2018;13,840830449827;"JP";"yellow";240;"JP"
"US";2006;44,0959409594096;"US";"blue";239;"US"
"US";2007;43,7847866419295;"US";"blue";236;"US"
"CN";2020;13,6391437308869;"CN";"orange";223;"CN"
"EU";2019;12;"DE";"green";222;"EU"
"JP";2020;13,394495412844;"JP";"yellow";219;"JP"
"CN";2017;12,6201923076923;"CN";"orange";210;"CN"
"EU";2014;10,5025125628141;"DE";"green";209;"EU"
"CN";2014;10,3517587939699;"CN";"orange";206;"CN"
"US";2005;42,7672955974843;"US";"blue";204;"US"
"EU";2020;12,2324159021407;"DE";"green";200;"EU"
"CN";2015;11,7021276595745;"CN";"orange";198;"CN"
"EU";2018;11,2456747404844;"DE";"green";195;"EU"
"US";2021;22,4343675417661;"US";"blue";188;"US"
"CN";2016;10,9069353882632;"CN";"orange";184;"CN"
"EU";2012;10,7187112763321;"DE";"green";173;"EU"
"EU";2015;10,2245862884161;"DE";"green";173;"EU"
"EU";2013;9,38864628820961;"DE";"green";172;"EU"
"US";2004;46,7787114845938;"US";"blue";167;"US"
"CN";2021;19,8090692124105;"CN";"orange";166;"CN"
"CN";2013;8,24235807860262;"CN";"orange";151;"CN"
"EU";2016;8,59513930053349;"DE";"green";145;"EU"
"EU";2011;10,9163346613546;"DE";"green";137;"EU"
"EU";2017;7,51201923076923;"DE";"green";125;"EU"
"CN";2012;6,93928128872367;"CN";"orange";112;"CN"
"EU";2010;12,2931442080378;"DE";"green";104;"EU"
"EU";2015;5,49645390070922;"UK";"green";93;"EU"
"JP";2021;11,0978520286396;"JP";"yellow";93;"JP"
"KR";2019;4,75675675675676;"KR";"lightgreen";88;"KR"
"KR";2018;4,90196078431373;"KR";"lightgreen";85;"KR"
"JP";2010;9,69267139479905;"JP";"yellow";82;"JP"
"KR";2011;6,53386454183267;"KR";"lightgreen";82;"KR"
"CN";2011;6,29482071713147;"CN";"orange";79;"CN"
"EU";2021;9,4272076372315;"DE";"green";79;"EU"
"KR";2020;4,83180428134557;"KR";"lightgreen";79;"KR"
"IN";2013;4,14847161572052;"IN";"lightblue";76;"IN"
"EU";2016;4,5050385299348;"UK";"green";76;"EU"
"EU";2012;4,64684014869888;"UK";"green";75;"EU"
"KR";2014;3,76884422110553;"KR";"lightgreen";75;"KR"
"EU";2009;10,1788170563961;"DE";"green";74;"EU"
"EU";2013;3,82096069868996;"UK";"green";70;"EU"
"KR";2012;4,27509293680297;"KR";"lightgreen";69;"KR"
"EU";2015;4,07801418439716;"FR";"green";69;"EU"
"EU";2017;4,02644230769231;"UK";"green";67;"EU"
"KR";2017;4,02644230769231;"KR";"lightgreen";67;"KR"
"EU";2019;3,45945945945946;"UK";"green";64;"EU"
"IN";2012;3,84138785625774;"IN";"lightblue";62;"IN"
"EU";2014;3,06532663316583;"FR";"green";61;"EU"
"IN";2014;3,01507537688442;"IN";"lightblue";60;"IN"
"EU";2018;3,46020761245675;"UK";"green";60;"EU"
"EU";2013;3,22052401746725;"FR";"green";59;"EU"
"EU";2011;4,62151394422311;"UK";"green";58;"EU"
"KR";2013;3,16593886462882;"KR";"lightgreen";58;"KR"
"EU";2020;3,5474006116208;"UK";"green";58;"EU"
"EU";2019;3,02702702702703;"FR";"green";56;"EU"
"JP";2009;7,56533700137552;"JP";"yellow";55;"JP"
"KR";2015;3,25059101654846;"KR";"lightgreen";55;"KR"
"KR";2016;3,2009484291642;"KR";"lightgreen";54;"KR"
"EU";2014;2,66331658291457;"UK";"green";53;"EU"
"EU";2012;3,15985130111524;"FR";"green";51;"EU"
"EU";2008;8,33333333333333;"DE";"green";50;"EU"
"JP";2007;9,27643784786642;"JP";"yellow";50;"JP"
"JP";2008;8,33333333333333;"JP";"yellow";50;"JP"
"JP";2006;9,04059040590406;"JP";"yellow";49;"JP"
"CN";2010;5,7919621749409;"CN";"orange";49;"CN"
"CA";2014;2,46231155778894;"CA";"lightgrey";49;"CA"
"IN";2020;2,99694189602446;"IN";"lightblue";49;"IN"
"EU";2017;2,88461538461538;"FR";"green";48;"EU"
"IN";2018;2,7681660899654;"IN";"lightblue";48;"IN"
"EU";2020;2,93577981651376;"FR";"green";48;"EU"
"EU";2021;5,60859188544153;"UK";"green";47;"EU"
"KR";2021;5,36992840095465;"KR";"lightgreen";45;"KR"
"EU";2012;2,72614622057001;"SE";"green";44;"EU"
"EU";2019;2,37837837837838;"SE";"green";44;"EU"
"EU";2007;7,97773654916512;"DE";"green";43;"EU"
"EU";2017;2,58413461538462;"SE";"green";43;"EU"
"IN";2019;2,32432432432432;"IN";"lightblue";43;"IN"
"EU";2010;4,9645390070922;"SE";"green";42;"EU"
"EU";2015;2,4822695035461;"SE";"green";42;"EU"
"CA";2019;2,27027027027027;"CA";"lightgrey";42;"CA"
"EU";2016;2,4303497332543;"FR";"green";41;"EU"
"EU";2018;2,36447520184544;"FR";"green";41;"EU"
"CA";2012;2,47831474597274;"CA";"lightgrey";40;"CA"
"JP";2005;8,17610062893082;"JP";"yellow";39;"JP"
"EU";2011;3,10756972111554;"SE";"green";39;"EU"
"CA";2015;2,30496453900709;"CA";"lightgrey";39;"CA"
"EU";2005;7,9664570230608;"DE";"green";38;"EU"
"EU";2014;1,90954773869347;"SE";"green";38;"EU"
"EU";2016;2,2525192649674;"SE";"green";38;"EU"
"CA";2017;2,28365384615385;"CA";"lightgrey";38;"CA"
"IN";2015;2,18676122931442;"IN";"lightblue";37;"IN"
"CA";2013;1,96506550218341;"CA";"lightgrey";36;"CA"
"EU";2019;1,89189189189189;"ES";"green";35;"EU"
"EU";2008;5,66666666666667;"UK";"green";34;"EU"
"EU";2006;6,27306273062731;"DE";"green";34;"EU"
"CA";2020;2,07951070336391;"CA";"lightgrey";34;"CA"
"CA";2009;4,53920220082531;"CA";"lightgrey";33;"CA"
"EU";2011;2,62948207171315;"FR";"green";33;"EU"
"EU";2013;1,80131004366812;"SE";"green";33;"EU"
"EU";2009;4,40165061898212;"SE";"green";32;"EU"
"EU";2009;4,40165061898212;"UK";"green";32;"EU"
"EU";2007;5,93692022263451;"SE";"green";32;"EU"
"EU";2018;1,84544405997693;"SE";"green";32;"EU"
"EU";2019;1,72972972972973;"DK";"green";32;"EU"
"IN";2011;2,47011952191235;"IN";"lightblue";31;"IN"
"CA";2016;1,8375815056313;"CA";"lightgrey";31;"CA"
"EU";2010;3,54609929078014;"UK";"green";30;"EU"
"EU";2010;3,54609929078014;"FR";"green";30;"EU"
"EU";2013;1,63755458515284;"CH";"green";30;"EU"
"IN";2017;1,80288461538462;"IN";"lightblue";30;"IN"
"EU";2018;1,73010380622837;"CH";"green";30;"EU"
"EU";2008;4,83333333333333;"SE";"green";29;"EU"
"EU";2009;3,98899587345254;"FR";"green";29;"EU"
"CA";2018;1,67243367935409;"CA";"lightgrey";29;"CA"
"EU";2005;5,87002096436059;"UK";"green";28;"EU"
"JP";2004;7,84313725490196;"JP";"yellow";28;"JP"
"CN";2009;3,85144429160935;"CN";"orange";28;"CN"
"EU";2012;1,73482032218092;"ES";"green";28;"EU"
"IL";2013;1,52838427947598;"IL";"grey";28;"IL"
"IL";2018;1,61476355247982;"IL";"grey";28;"IL"
"EU";2020;1,71253822629969;"SE";"green";28;"EU"
"EU";2011;2,15139442231076;"CH";"green";27;"EU"
"IL";2017;1,62259615384615;"IL";"grey";27;"IL"
"EU";2021;3,22195704057279;"DK";"green";27;"EU"
"CA";2006;4,7970479704797;"CA";"lightgrey";26;"CA"
"EU";2008;4,16666666666667;"FR";"green";25;"EU"
"EU";2004;7,00280112044818;"DE";"green";25;"EU"
"EU";2015;1,47754137115839;"ES";"green";25;"EU"
"IN";2016;1,4819205690575;"IN";"lightblue";25;"IN"
"CA";2011;1,91235059760956;"CA";"lightgrey";24;"CA"
"CA";2010;2,83687943262411;"CA";"lightgrey";24;"CA"
"EU";2014;1,20603015075377;"DK";"green";24;"EU"
"EU";2014;1,20603015075377;"CH";"green";24;"EU"
"EU";2018;1,3840830449827;"IT";"green";24;"EU"
