"Province";"Industry";"Relatedness.Density";"Complexity";"Employment..US.";"Wage..US.";"Education..US.";"RCA";"sbi08";"omschr";"Relatedness.Density..5d.";"RCA..5d."
"NL4";" Accommodation ";56,73;21,55;1998716;27,49;12,31;1,12;5590;"Overige logiesverstrekking";53,42;1,03
"NL4";" Accommodation ";56,73;21,55;1998716;27,49;12,31;1,12;55201;"Verhuur van vakantiehuisjes en appartementen";57,07;1,71
"NL4";" Accommodation ";56,73;21,55;1998716;27,49;12,31;1,12;5530;"Kampeerterreinen";56,19;1,68
"NL4";" Accommodation ";56,73;21,55;1998716;27,49;12,31;1,12;55101;"Hotel-restaurants";50,86;0,95
"NL4";" Accommodation ";56,73;21,55;1998716;27,49;12,31;1,12;55202;"Jeugdherbergen, vakantiekampen en groepsaccommodaties";49,21;0,5
"NL4";" Accommodation ";56,73;21,55;1998716;27,49;12,31;1,12;55102;"Hotels (geen hotel-restaurants), pensions en confer.-oorden";47,25;0,87
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;66293;"Waarborgfondsen";42,65;0,61
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;66192;"Marketmakers";42,29;0,01
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;66292;"Actuariële en pensioenadviesbureaus; beheer en administratie";51,76;1,4
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;66299;"Overige dienstverlening op het gebied van verzekeringen";57,29;2,89
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;66191;"Administratiekantoren voor aandelen en obligaties";41,41;0,15
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;6611;"Beheer van financiële markten";42,58;0,1
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;66291;"Verzekeringsbeurzen";45,53;0,2
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;66193;"Hypotheek- en kredietbemiddeling, geldwisselkantoren";38,92;0,7
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;6630;"Vermogensbeheer";46,12;0,87
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;6622;"Assurantietussenpersonen";49,68;1,05
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;6621;"Risicoanalisten en schadetaxateurs";41,31;0,52
"NL4";" Activities auxiliary to financial services and insurance activities ";39,74;77,03;3237230;108,05;14,53;0,96;6612;"Commissionairs en makelaars in effecten, beleggingsadviseurs";42,07;0,38
"NL4";" Activities of extraterritorial organisations and bodies ";42,77;89,79;NA;NA;NA;0,09;9900;"Extraterritoriale organisaties en lichamen";44,94;0,09
"NL4";" Activities of head offices; management consultancy activities ";32,74;100;4854721;97,27;14,49;0,7;7021;"Public relationsbureaus";41,63;0,76
"NL4";" Activities of head offices; management consultancy activities ";32,74;100;4854721;97,27;14,49;0,7;70222;"Advisering op het gebied van management en bedrijfsvoering";40,71;0,73
"NL4";" Activities of head offices; management consultancy activities ";32,74;100;4854721;97,27;14,49;0,7;70221;"Organisatie-adviesbureaus";41,83;0,75
"NL4";" Activities of head offices; management consultancy activities ";32,74;100;4854721;97,27;14,49;0,7;70102;"Holdings (geen financiële)";42,24;0,19
"NL4";" Activities of head offices; management consultancy activities ";32,74;100;4854721;97,27;14,49;0,7;70101;"Concerndiensten binnen eigen concern";46,67;0,77
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94991;"Gezelligheidsverenigingen";46,23;0,81
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94995;"Overkoepelende organen en samenwerkings- en adviesorganen";44;0,43
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;9492;"Politieke organisaties";41,14;0,05
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94919;"Overige levensbeschouwelijke organisaties";41,98;0,44
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94911;"Religieuze organisaties";50,57;1,08
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94993;"Steunfondsen (niet op het gebied van welzijnszorg)";38,46;0,08
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94994;"Vriendenkringen op het gebied van cultuur, fanclubs";44,73;0,33
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;9420;"Werknemersorganisaties";44,22;0,21
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94992;"Hobbyclubs";51,08;1
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;9412;"Beroepsorganisaties";44,23;0,02
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94997;"Overige belangenbehartiging (rest)";41,4;0,16
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;9411;"Bedrijfs- en werkgeversorganisaties";44,18;0,55
"NL4";" Activities of membership organisations ";32,95;97,12;2755525;30,02;14,27;0,41;94996;"Overige ideële organisaties (rest)";38,87;0,22
"NL4";" Advertising and market research ";35,99;81,22;1058753;54,7;14,31;0,8;7320;"Markt- en opinieonderzoekbureaus";44,33;0,89
"NL4";" Advertising and market research ";35,99;81,22;1058753;54,7;14,31;0,8;7312;"Handel in advertentieruimte en -tijd";41,36;0,59
"NL4";" Advertising and market research ";35,99;81,22;1058753;54,7;14,31;0,8;7311;"Reclamebureaus";41,97;0,78
"NL4";" Air transport ";38,91;78,69;NA;NA;NA;0,03;5110;"Personenvervoer door de lucht";42,36;0,03
"NL4";" Air transport ";38,91;78,69;NA;NA;NA;0,03;5121;"Goederenvervoer door de lucht";41,31;0,13
