"reg","tech","year","count","share"
"AE","Artificial Intelligence",2014,1,0.071
"AE","Artificial Intelligence",2015,1,0.065
"AE","Artificial Intelligence",2017,3,0.107
"AE","Artificial Intelligence",2019,5,0.067
"AE","Artificial Intelligence",2020,8,0.075
"AE","Artificial Intelligence",2021,9,0.073
"AE","Artificial Intelligence",2022,7,0.058
"AE","Artificial Intelligence",2023,4,0.065
"AR","Artificial Intelligence",2010,1,0.158
"AR","Artificial Intelligence",2012,1,0.13
"AR","Artificial Intelligence",2013,1,0.102
"AR","Artificial Intelligence",2017,1,0.036
"AR","Artificial Intelligence",2019,3,0.04
"AR","Artificial Intelligence",2020,1,0.009
"AR","Artificial Intelligence",2021,2,0.016
"AT","Artificial Intelligence",1990,1,2.439
"AT","Artificial Intelligence",1993,1,1.538
"AT","Artificial Intelligence",1995,1,0.909
"AT","Artificial Intelligence",2000,2,0.881
"AT","Artificial Intelligence",2002,1,0.211
"AT","Artificial Intelligence",2003,3,0.813
"AT","Artificial Intelligence",2004,1,0.272
"AT","Artificial Intelligence",2005,1,0.207
"AT","Artificial Intelligence",2006,1,0.189
"AT","Artificial Intelligence",2007,1,0.17
"AT","Artificial Intelligence",2008,2,0.324
"AT","Artificial Intelligence",2009,3,0.535
"AT","Artificial Intelligence",2010,8,1.266
"AT","Artificial Intelligence",2011,2,0.284
"AT","Artificial Intelligence",2012,4,0.518
"AT","Artificial Intelligence",2013,5,0.508
"AT","Artificial Intelligence",2014,5,0.355
"AT","Artificial Intelligence",2015,5,0.324
"AT","Artificial Intelligence",2016,6,0.346
"AT","Artificial Intelligence",2017,12,0.43
"AT","Artificial Intelligence",2018,16,0.365
"AT","Artificial Intelligence",2019,39,0.522
"AT","Artificial Intelligence",2020,40,0.377
"AT","Artificial Intelligence",2021,24,0.194
"AT","Artificial Intelligence",2022,44,0.366
"AT","Artificial Intelligence",2023,20,0.327
"AU","Artificial Intelligence",1989,1,5.882
"AU","Artificial Intelligence",1992,1,1.613
"AU","Artificial Intelligence",1994,1,1.786
"AU","Artificial Intelligence",1995,3,2.727
"AU","Artificial Intelligence",1997,1,0.926
"AU","Artificial Intelligence",1998,4,3.008
"AU","Artificial Intelligence",1999,1,0.667
"AU","Artificial Intelligence",2000,4,1.762
"AU","Artificial Intelligence",2001,14,3.784
"AU","Artificial Intelligence",2002,10,2.11
"AU","Artificial Intelligence",2003,8,2.168
"AU","Artificial Intelligence",2004,9,2.446
"AU","Artificial Intelligence",2005,14,2.893
"AU","Artificial Intelligence",2006,11,2.079
"AU","Artificial Intelligence",2007,13,2.215
"AU","Artificial Intelligence",2008,11,1.78
"AU","Artificial Intelligence",2009,6,1.07
"AU","Artificial Intelligence",2010,20,3.165
"AU","Artificial Intelligence",2011,14,1.986
"AU","Artificial Intelligence",2012,9,1.166
"AU","Artificial Intelligence",2013,14,1.421
"AU","Artificial Intelligence",2014,10,0.709
"AU","Artificial Intelligence",2015,13,0.844
"AU","Artificial Intelligence",2016,20,1.155
"AU","Artificial Intelligence",2017,31,1.11
"AU","Artificial Intelligence",2018,38,0.868
"AU","Artificial Intelligence",2019,71,0.951
"AU","Artificial Intelligence",2020,90,0.849
"AU","Artificial Intelligence",2021,104,0.84
"AU","Artificial Intelligence",2022,96,0.799
"AU","Artificial Intelligence",2023,43,0.703
"BA","Artificial Intelligence",2011,1,0.142
"BA","Artificial Intelligence",2023,1,0.016
"BB","Artificial Intelligence",2006,1,0.189
"BD","Artificial Intelligence",2021,1,0.008
"BE","Artificial Intelligence",1997,1,0.926
"BE","Artificial Intelligence",2001,8,2.162
"BE","Artificial Intelligence",2002,1,0.211
"BE","Artificial Intelligence",2003,2,0.542
"BE","Artificial Intelligence",2004,4,1.087
"BE","Artificial Intelligence",2005,1,0.207
"BE","Artificial Intelligence",2006,2,0.378
"BE","Artificial Intelligence",2007,1,0.17
"BE","Artificial Intelligence",2008,6,0.971
"BE","Artificial Intelligence",2009,2,0.357
"BE","Artificial Intelligence",2010,5,0.791
"BE","Artificial Intelligence",2011,2,0.284
"BE","Artificial Intelligence",2012,2,0.259
"BE","Artificial Intelligence",2013,4,0.406
"BE","Artificial Intelligence",2014,5,0.355
"BE","Artificial Intelligence",2015,7,0.454
"BE","Artificial Intelligence",2016,6,0.346
"BE","Artificial Intelligence",2017,16,0.573
"BE","Artificial Intelligence",2018,14,0.32
"BE","Artificial Intelligence",2019,33,0.442
"BE","Artificial Intelligence",2020,48,0.453
"BE","Artificial Intelligence",2021,44,0.355
"BE","Artificial Intelligence",2022,33,0.275
"BE","Artificial Intelligence",2023,13,0.213
"BG","Artificial Intelligence",2004,1,0.272
"BG","Artificial Intelligence",2012,1,0.13
"BG","Artificial Intelligence",2013,1,0.102
"BG","Artificial Intelligence",2014,1,0.071
"BG","Artificial Intelligence",2015,2,0.13
"BG","Artificial Intelligence",2016,2,0.115
"BG","Artificial Intelligence",2017,1,0.036
"BG","Artificial Intelligence",2021,1,0.008
"BG","Artificial Intelligence",2023,1,0.016
"BH","Artificial Intelligence",2014,1,0.071
"BR","Artificial Intelligence",1989,1,5.882
"BR","Artificial Intelligence",2000,1,0.441
"BR","Artificial Intelligence",2001,1,0.27
"BR","Artificial Intelligence",2002,1,0.211
"BR","Artificial Intelligence",2003,1,0.271
"BR","Artificial Intelligence",2004,1,0.272
"BR","Artificial Intelligence",2005,3,0.62
"BR","Artificial Intelligence",2008,2,0.324
"BR","Artificial Intelligence",2009,1,0.178
"BR","Artificial Intelligence",2010,2,0.316
