country,iso,count,likes,downloads,downloads_all_time
Bangladesh,BD,1,369,843644,6883614
Belgium,BE,1,323,272410,4477295
Canada,CA,6,8729,1918092,23259824
China,CN,34,78913,91215919,848133925
Finland,FI,1,2249,8756727,272473442
France,FR,6,33680,81080484.5,606024575.5
Germany,DE,12,38090,546297735.5,2415870403
Greece,GR,1,304,340279,14929887
Hong Kong,HK,1,515,27125,198178
India,IN,3,2118,175481,4108435
Indonesia,ID,1,1407,421319,2518981
Ireland,IE,1,565,7089,448000
Israel,IL,4,5565,1740256,8408067
Italy,IT,1,453,452131,11438174
Japan,JP,5,2215,652555,5502113
Morocco,MA,1,2960,617244,4447908
Philippines,PH,1,587,1584,85228
Poland,PL,1,382,53302,325528
Portugal,PT,1,348,22568,349488
Saudi Arabia,SA,1,552,5219,70451
Singapore,SG,3,1215,833529,5963961
South Korea,KR,6,4829,457848,7000058
Spain,ES,2,829,55823,207717
Switzerland,CH,1,487,8804,110534
The Netherlands,NL,1,683,1779354,46206424
Turkey,TR,1,286,26224,234144
Ukraine,UA,1,388,31968,2287375
United Arab Emirates,AE,4,9818,4634142,75891302
United Kingdom,GB,4,51686,21053355,748302685
United States,US,84,245240,657416343,11358766842
Vietnam,VN,1,336,750990,31522908
